Publicador,Total de vendas
NEC,0.43000000000000005
Mojang,2.9099999999999993
Karin Entertainment,0.02
Yeti,0.24000000000000002
Focus Home Interactive,7.409999999999988
Alternative Software,0.20999999999999996
Ertain,0.05
iWin,0.060000000000000005
Daedalic,0.30000000000000004
Jester Interactive,1.1300000000000001
Enix Corporation,33.73999999999999
Phantagram,0.05
SouthPeak Games,6.30999999999999
SCi,3.4999999999999964
Namco Bandai Games,253.47000000000062
Interchannel,0.1
Evolved Games,0.33
Excalibur Publishing,0.28
Coconuts Japan,0.07
Big Ben Interactive,0.9800000000000003
Rising Star Games,17.190000000000005
Hasbro Interactive,15.21
Saurus,0.02
Nippon Columbia,0.9500000000000002
Warner Bros. Interactive Entertainment,142.3400000000002
KID,0.08
MLB.com,0.04
MTV Games,18.920000000000016
Rocket Company,1.8200000000000005
Piacci,0.01
Imadio,0.14
Mercury Games,0.21
ESP,0.5900000000000001
Eidos Interactive,96.71000000000028
Playmates,0.29000000000000004
Arc System Works,1.4700000000000006
Popcorn Arcade,0.46
Wanadoo,0.6400000000000001
Mad Catz,0.31000000000000005
Jaleco,1.9500000000000008
Liquid Games,0.26
Plenty,0.02
Max Five,0.05
Gaga,0.02
Encore,0.07
Takuyo,0.01
IE Institute,0.9600000000000002
Kaga Create,0.14
Introversion Software,0.02
Graphsim Entertainment,0.02
Majesco Entertainment,15.699999999999976
Men-A-Vision,0.77
CokeM Interactive,0.31
Mattel Interactive,3.4699999999999993
Kemco,2.1899999999999995
KSS,0.03
Zenrin,0.06
AQ Interactive,0.56
Nichibutsu,0.28
Bethesda Softworks,81.45000000000016
Seventh Chord,0.08
Neko Entertainment,0.30000000000000004
BMG Interactive Entertainment,1.1800000000000002
FuRyu Corporation,0.03
Game Life,0.29000000000000004
Taito,2.8299999999999974
DigiCube,0.06
Red Storm Entertainment,2.32
NCSoft,2.569999999999999
Aspyr,0.6400000000000001
Answer Software,0.5
Rain Games,0.01
Graffiti,0.37
Knowledge Adventure,1.4600000000000002
Inti Creates,0.01
Creative Core,0.09999999999999999
Alchemist,2.619999999999998
Experience Inc.,0.060000000000000005
Pack-In-Video,0.11
Views,0.03
Data Design Interactive,0.28
Glams,0.08
Nexon,0.03
Funcom,0.19
Milestone S.r.l.,1.2700000000000007
JVC,2.7799999999999985
Black Label Games,1.2
TDK Core,0.6200000000000001
Easy Interactive,0.03
Daedalic Entertainment,0.12
Interplay,6.619999999999996
Phoenix Games,0.02
LucasArts,84.91000000000011
Angel Studios,0.43999999999999995
Sony Online Entertainment,3.5100000000000002
Imagic,4.8199999999999985
Yumedia,0.06
Athena,0.09000000000000001
Interchannel-Holon,0.01
Fortyfive,0.06
Societa,0.04
Mastertronic,1.7000000000000004
Bigben Interactive,0.8500000000000003
Global A Entertainment,0.15
Flight-Plan,0.12
Agetec,1.9300000000000004
Data Age,0.7
3DO,10.14999999999999
Warashi,0.02
Sonnet,0.06
LEGO Media,1.5600000000000005
UEP Systems,2.2600000000000002
Commseed,0.01
Marvelous Games,0.02
Compile Heart,1.3700000000000003
Slitherine Software,0.16000000000000003
Marvelous Interactive,4.179999999999996
Media Works,0.18
Microsoft Game Studios,245.77999999999992
MC2 Entertainment,0.060000000000000005
Sold Out,0.02
Home Entertainment Suppliers,0.44
From Software,1.6500000000000006
Sammy Corporation,2.73
Starfish,0.7100000000000002
Aerosoft,0.03
Hearty Robin,0.09
20th Century Fox Video Games,1.9300000000000002
Monte Christo Multimedia,0.05
PopTop Software,0.11
Otomate,0.01
Russel,1.2100000000000002
Natsume,3.6999999999999984
Hect,0.5
Nitroplus,0.02
Elite,0.07
Tryfirst,0.03
Ocean,3.589999999999998
O-Games,1.1000000000000005
UIG Entertainment,0.01
New World Computing,0.01
Broccoli,0.9600000000000002
Epic Games,0.01
CCP,0.21
Falcom Corporation,1.2200000000000004
P2 Games,0.39
Magical Company,0.4
Electronic Arts,1093.2099999999693
Ubisoft Annecy,4.479999999999996
Lexicon Entertainment,0.04
Data East,0.15
Revolution Software,0.07999999999999999
Codemasters,47.64999999999998
Kalypso Media,1.9100000000000008
Nintendo,1784.229999999977
Sony Computer Entertainment America,1.17
Game Factory,3.739999999999994
Navarre Corp,0.04
Vap,0.05
