Jogo,Total de vendas
Oddworld: Stranger's Wrath,0.26
Power Pro Kun Pocket,0.17
Ballblazer Champions,0.02
Sky Odyssey,0.32
Mega Man 6,0.52
Fallout 4,12.28
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,0.79
Warriors of the Lost Empire (JP sales),0.02
Metal Slug X,0.09
Mortal Kombat: Tournament Edition,0.01
Winning Post 7 2012,0.11000000000000001
Baseball Blast!,0.15000000000000002
Super Robot Taisen 64,0.2
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,0.19
Melty Blood: Actress Again,0.06
NES Remix,0.30000000000000004
Atelier Iris 3: Grand Phantasm (JP Sales),0.04
Luminous Arc 3,0.04
Star Trek: Conquest,0.13
Pokémon Emerald Version,6.420000000000001
Hallowed Legends: Samhain,0.03
Final Fight 2,1.02
We Sing 80s,0.01
Exist Archive: The Other Side of the Sky,0.07
Marble Saga: Kororinpa,0.18
BIT.TRIP COMPLETE,0.09
Motor Trend presents Lotus Challenge,0.03
Momotaro Douchuuki,0.13
Jinguuji Saburou DS: Akai Chou,0.02
Bust-A-Move 4,0.21000000000000002
InuYasha: Feudal Combat,0.26
Moe Moe 2-Ji Daisenryaku 2,0.01
NHL FaceOff '97,0.4600000000000001
Firefighter F.D.18,0.06999999999999999
Klonoa,0.17
Hooked! Real Motion Fishing,0.22999999999999998
Mouse Trap,0.4
Dance Dance Revolution Disney Mix,0.04
Jikkyou Powerful Pro Yakyuu 14 Ketteiban,0.09
Super Collapse! II,0.03
Order Up!,0.22
Hero Bank,0.07
Haze,0.9900000000000001
Hitman: Blood Money,1.0800000000000003
Rune Factory 2: A Fantasy Harvest Moon,0.54
Brink,1.9600000000000004
Star Wars The Clone Wars: Lightsaber Duels,1.67
Phantasy Star Portable 2,0.8700000000000001
M&M's Beach Party,0.04
Sonic Rivals,1.43
The Sims 4,2.9699999999999998
Tom Clancy's EndWar,1.8100000000000003
Virtual Pool: Tournament Edition,0.03
Accel World: Kasoku no Chouten,0.03
The Saboteur,1.08
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,0.6000000000000001
Super Mario All-Stars,10.55
Disney Fairies: Tinker Bell and the Lost Treasure,1.04
Elminage Original: Majo to Megami to Kamigami no Yubiwa,0.02
Armored Core: For Answer,0.34
Magical Starsign (US sales),0.19
Hot Wheels: Stunt Track Challenge / World Race,0.01
NBA Courtside 2002,0.25
Prince of Persia: The Sands of Time,3.63
Freedom Wings,0.02
Kaijuu Busters,0.12
Point Blank,0.33
Rock Band Track Pack Volume 1,0.37000000000000005
ESPN College Hoops 2K5,1.22
Period Cube: Torikago no Amadeus,0.01
Disney Sports Football,0.03
Retro Atari Classics,0.13
Zone of the Enders,0.75
Fast Food,0.29000000000000004
Usavichi: Game no Jikan,0.02
Castlevania II: Simon's Quest,0.9299999999999999
World of Warcraft,6.28
Need for Speed III: Hot Pursuit,3.13
Ojyousama Express,0.09
Party Pigs: Farmyard Games,0.07
Bogey: Dead 6,0.09999999999999999
SplashDown: Rides Gone Wild,0.49
Dungeon Explorer: Warriors of Ancient Arts,0.060000000000000005
Tokyo Highway Battle,0.33
Gift: Prism,0.02
Frequency,0.18
Mario Party Advance,0.99
MotorHead,0.03
NHL 2002,1.59
Gladiator Begins,0.12000000000000001
Alter Ego,0.04
MLB Inside Pitch 2003,0.12
Grand Knights History,0.13
DJ Star,0.01
Super Mario All-Stars: Limited Edition,2.6
Carnival Games,6.16
Aero Gauge,0.06999999999999999
Thor: God of Thunder,0.6800000000000002
Strongest Tokyo University Shogi DS,0.02
Mega Man X2,0.56
New Super Mario Bros.,30.009999999999998
Aquanaut's Holiday: Kakusareta Kiroku,0.04
PokéPark Wii: Pikachu's Adventure,1.2000000000000002
Killzone: Shadow Fall,2.5700000000000003
RollerCoaster Tycoon 2: Triple Thrill Pack,0.03
Disney's 102 Dalmatians: Puppies to the Rescue,0.6100000000000001
Lucky * Star: Ryouou Gakuen Outousai,0.1
Picross 3D,0.52
Euro Truck Simulator 2,0.13999999999999999
One Piece: Daikaizoku Coliseum,0.01
Kenka Banchou 6: Soul & Blood,0.07
Tomb Raider III: Adventures of Lara Croft,4.160000000000001
Group S Challenge,0.02
R-Type Delta,0.02
Sitting Ducks,0.09
Rock Band: Metal Track Pack,0.48
DrumMania,0.15
Silent Hill,1.59
Vitamin Y,0.01
Fallout: Brotherhood of Steel,0.11999999999999998
NFL Street,2.4299999999999997
Machi: Unmei no Kousaten,0.02
Toaru Majutsu no Kagaku no Ensemble,0.03
Azada,0.02
Happy Feet,0.6900000000000001
Dave Mirra BMX Challenge,0.14
GunGriffon Blaze,0.09999999999999999
Mega Man X5,0.76
Kekkaishi: Kokubourou no Kage,0.03
Dragon Age: Origins,4.789999999999999
Gran Turismo 5 Prologue,4.21
DemiKids: Light Version,0.03
Persona Q: Shadow of the Labyrinth,0.7100000000000001
Super Robot Taisen OG: Original Generations Gaiden,0.3
Kids Learn Music A+ Edition,0.05
Silent Hill: Book of Memories,0.23
Sengoku Basara: Samurai Heroes,0.9500000000000002
Tony Hawk's Downhill Jam,0.22
Karnaaj Rally,0.01
Power Stone Collection,0.09
Speed Punks,0.2
The Tale of Despereaux,0.44
Cranium Kabookii,0.14
Madden NFL 15,6.970000000000001
SingStar Chartbreaker,0.03
Ratchet & Clank Future: A Crack in Time,1.8800000000000001
Trine,0.01
Eyeshield 21: Portable Edition,0.02
Shaman King: Chou Senjiryokketsu 3,0.02
NASCAR 2001,1.5100000000000002
The King of Fighters: Evolution,0.07
Colony Wars III: Red Sun,0.13
NCAA Football 2004,2.2600000000000002
Tears to Tiara Anecdotes: The Secret of Avalon,0.04
Boxing Fever,0.08
Wand of Fortune 2: Jikuu ni Shizumu Mokushiroku,0.03
Shin Sangoku Musou: Multi Raid 2,0.11
Medal of Honor Heroes,2.64
Konami Krazy Racers,0.16
Yager,0.04
IHRA Professional Drag Racing 2005,0.23
Full Auto 2: Battlelines,0.19
Killer Loop,0.05
Trivial Pursuit: Bet You Know It,0.15000000000000002
Pursuit Force,0.17
Pokémon I Choose You / Squirtle Squad Game Boy Advance Video,0.18
Sloane to MacHale no Nazo no Monogatari,0.2
Metroid: Other M,1.4100000000000001
G1 Jockey 2,0.06
Rollin' Rascals,0.04
NASCAR Heat 2002,0.9600000000000001
Scrabble,0.61
Orega Kantoku Da! Gekitou Pennant Race,0.08
Crash Bandicoot 2: N-Tranced,1.36
Jam Sessions 2,0.06
GTR Evolution,0.03
NCAA March Madness 2005,0.81
Supreme Ruler: Cold War,0.04
World Championship Spelling,0.04
Keiba Eight Special,0.05
Riven: The Sequel to Myst,2.7600000000000002
Death Trap,0.16
Power Rangers: Wild Force,0.2
Star Wars: Rebel Assault II - The Hidden Empire,0.8800000000000001
Centipede,2.0
History Civil War: Secret Missions,0.28
SplashDown,0.81
Worms,0.05
Onechanbara: Bikini Samurai Squad,0.13
Pony Luv,0.02
Point Blank 3,0.02
Frogger: The Great Quest,1.2299999999999998
Fate/kaleid liner Prisma Illya,0.01
Dance Central: Spotlight,0.18
Gegege no Kitarou 2: Youkai Gundan no Chousen,1.25
Tony Hawk's Underground,6.459999999999998
Summon Night EX-Thesis: Yoake no Tsubasa,0.16
Chaos Legion,0.31
Bodycount,0.24000000000000002
Crushed Baseball,0.04
Chocobo Racing,0.44999999999999996
LEGO Star Wars II: The Original Trilogy,7.329999999999999
Kung Zhu,0.28
Metal Gear Solid V: The Phantom Pain,5.059999999999999
Fantasy Life,1.13
Spyro 2: Season of Flame,1.58
Chessmaster II,0.15000000000000002
Apache: Air Assault,0.41999999999999993
Mahjong,2.1399999999999997
Bionicle: Matoran Adventures,0.25
Tokimeki Memorial 4,0.08
Big League Sports,0.32
TimeSplitters,0.44
Chrono Cross,1.85
Michael Jackson: The Experience 3D,0.17
Uncharted 2: Among Thieves,6.7299999999999995
Build-A-Bear Workshop,0.9299999999999999
Naruto: Powerful Shippuden,0.15000000000000002
Crash Bandicoot: The Huge Adventure,1.73
Independence Day,0.45000000000000007
Magna Carta Portable,0.03
Football Manager Handheld 2009,0.49
Whacked!,0.09000000000000001
The Adventures of Lomax,0.02
Active Life Explorer,0.15000000000000002
Rainbow Islands Revolution,0.01
Yoshi's Story,2.8499999999999996
SoulCalibur Legends,0.18000000000000002
Millipede,0.49
Culdcept DS,0.1
FIFA 06: Road to FIFA World Cup,0.15000000000000002
Night Warriors: Darkstalkers' Revenge,0.34
Frozen: Olaf's Quest,1.27
Dance on Broadway,1.1400000000000001
Madden NFL 2005,7.599999999999999
Shaun White Snowboarding,1.52
EVE: burst error,0.21
DokuSui: DokiDoki Suikoden,0.01
Sins of a Solar Empire: Trinity,0.04
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,0.04
Ford Racing 3,0.51
Dead Island: Riptide,1.4100000000000001
Yu-Gi-Oh! GX: Tag Force 2,0.44
Blue Dragon,0.9199999999999999
Defender II,0.44
MotorStorm RC,0.07
Rampage World Tour,1.3
Sniper: Art of Victory,0.48
NCAA Final Four 2003,0.18
The Legend of Zelda: Four Swords Adventures,0.81
Grand Theft Auto: Vice City,16.190000000000005
Sonic and the Black Knight,1.1600000000000001
Minna no DS Seminar: Kanpeki Kanji Ryoku,0.16
The IdolM@ster: Gravure For You! Vol. 6,0.03
World of Goo,0.04
Bionicle Heroes,0.27
NBA ShootOut '97,0.63
Road Rash,1.27
Rayman Arena,0.74
Super Dodgeball Brawlers (jp sales),0.03
Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,0.31
Let's Ride: Sunshine Stables,0.16
Power Pro Kun Pocket 2,0.25
Rescue Heroes: Billy Blazes,0.08
Yu-Gi-Oh! Dungeon Dice Monsters,0.74
Let's Sing 2016,0.03
SingStar Dance,0.53
Bratz 4 Real,0.5700000000000001
Tiger Woods PGA Tour 11,1.9300000000000002
Tony Hawk: RIDE,2.17
Ninja Gaiden Black,0.09000000000000001
The BIGS 2,1.0
Red Faction II,1.6600000000000001
Putty Squad,0.21
S.Y.K Renshouden Portable,0.04
Armored Core: Last Raven,0.18
Resistance 2,2.49
Hello Kitty: Roller Rescue,0.11
Atelier Totori: The Adventurer of Arland,0.52
Wii Play: Motion,0.9399999999999998
Football Manager 2013,1.17
Prism: Light the Way,0.05
Saints Row,2.19
Imagine: Party Babyz,0.39
